#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#Spouse/Parent complains about child doing a dangerous activity;;;;;;;;;;;;;;
EVTDESC_CE_28011;And so, [FROM.Religion.GetHighGodName], we give thanks…” Daily prayer is an integral part of life at the castle, yet [FROM.GetFirstName] is often distracted or, worse, falling asleep during this important observance.;;;;;;;;;;;;;x
EVTOPTA_CE_28011;Have a word with your [ROOT.Religion.GetPriestTitle] about special lessons to revitalize [FROM.GetFirstName]’s interest in [FROM.Religion.GetHighGodName]. ;;;;;;;;;;;;;x
EVTOPTA_CE_28011_TT;<ToDo - write tooltip for option>;;;;;;;;;;;;;x
EVTOPTB_CE_28011;[FROM.GetFirstName], you must pay attention during prayer!;;;;;;;;;;;;;x
EVTOPTB_CE_28011_TT;You beseech [FROM.GetFirstName], once again, to give prayer the attention it deserves.;;;;;;;;;;;;;x
EVTOPTC_CE_28011;The fires of Hell wait for those who would ignore [FROM.Religion.GetHighGodName] word.;;;;;;;;;;;;;x
EVTOPTC_CE_28011_TT;You impress upon [FROM.GetFirstName] the consequences for their inattentiveness!;;;;;;;;;;;;;x
EVTOPTD_CE_28011;<ToDo - write description for option>;;;;;;;;;;;;;x
EVTOPTD_CE_28011_TT;<ToDo - write tooltip for option>;;;;;;;;;;;;;x
EVTOPTE_CE_28011;[FROM.GetFirstName] is only a child.;;;;;;;;;;;;;x
EVTOPTE_CE_28011_TT;You can hardly expect children to understand the importance of such things, anyway.;;;;;;;;;;;;;x
#Child is uninterested in prayer - Chaplain intervenes;;;;;;;;;;;;;;x
EVTDESC_CE_28012;;;;;;;;;;;;;;x
